Humidity (%),Pressure (mb),Rain
56.2,972.2,No Rain
96.6,1014.5,No Rain
81.2,992.0,Rain
71.9,1005.6,No Rain
40.9,1033.5,No Rain
40.9,987.5,No Rain
34.1,998.7,No Rain
90.6,1022.9,No Rain
72.1,986.0,Rain
79.6,975.4,Rain
31.4,990.3,No Rain
97.9,981.3,Rain
88.3,1035.1,No Rain
44.9,1026.6,No Rain
42.7,1014.3,No Rain
42.8,1031.0,No Rain
51.3,1026.3,No Rain
66.7,983.1,No Rain
60.2,1032.5,No Rain
50.4,1007.8,No Rain
72.8,1026.5,No Rain
39.8,1032.7,No Rain
50.5,992.3,No Rain
55.6,977.7,No Rain
61.9,986.0,No Rain
85.0,999.9,Rain
44.0,1027.3,No Rain
66.0,1030.3,No Rain
71.5,970.5,Rain
33.3,1005.8,No Rain
72.5,999.2,Rain
41.9,985.5,No Rain
34.6,978.4,No Rain
96.4,993.6,Rain
97.6,1036.0,No Rain
86.6,992.6,Rain
51.3,1006.3,No Rain
36.8,1019.2,No Rain
77.9,995.5,Rain
60.8,1038.0,No Rain
38.5,1037.4,No Rain
64.7,987.6,No Rain
32.4,1004.8,No Rain
93.7,991.1,Rain
48.1,989.9,No Rain
76.4,972.6,Rain
51.8,1012.7,No Rain
66.4,1005.2,No Rain
68.3,973.6,No Rain
42.9,989.5,No Rain
97.9,1033.6,No Rain
84.3,986.8,Rain
95.8,980.1,Rain
92.6,1004.3,No Rain
71.9,1039.0,No Rain
94.5,986.9,Rain
36.2,1017.0,No Rain
43.7,1023.3,No Rain
33.2,986.6,No Rain
52.8,1021.0,No Rain
57.2,995.7,No Rain
49.0,1014.3,No Rain
88.0,1014.3,No Rain
55.0,1007.5,No Rain
49.7,976.3,No Rain
68.0,1028.5,No Rain
39.9,992.5,No Rain
86.2,983.1,Rain
35.2,972.9,No Rain
99.1,1011.4,No Rain
84.1,1017.4,No Rain
43.9,971.2,No Rain
30.4,1005.8,No Rain
87.1,985.9,Rain
79.5,1015.2,No Rain
81.0,982.2,Rain
84.0,1018.4,No Rain
35.2,997.1,No Rain
55.1,1035.6,No Rain
38.1,979.6,No Rain
90.4,993.9,Rain
73.6,977.9,Rain
53.2,1034.7,No Rain
34.4,1031.4,No Rain
51.8,988.1,No Rain
52.8,1016.2,No Rain
81.1,1027.2,No Rain
74.6,1008.9,No Rain
92.1,1007.1,No Rain
63.1,986.9,No Rain
38.4,976.5,No Rain
79.9,1032.8,No Rain
83.3,1033.0,No Rain
69.3,1014.3,No Rain
84.0,993.7,Rain
64.6,994.4,No Rain
66.6,1020.8,No Rain
59.9,1032.8,No Rain
31.8,1032.1,No Rain
37.6,1024.6,No Rain
